Top Posts,Member,Comments,Reactions,Views,Link,Month
מה העצה הכי גרועה שקיבלתם בנוגע ללימודים?,מתלבטים בלימודים- הדף,91,248,4196,https://www.facebook.com/groups/mlimudim/posts/1086902515633348/,Oct-24
"דחיתי לימודים
אני בן 25, אני מרגיש לא יציב בזה שדחיתי לימודים.

הסיבה שדחיתי כי לא הרגשתי שלם עם הבחירה של התואר, מרגיש שאני צריך עוד שנה לקבל החלטה מה ללמוד.

הרגשתי שאם אתחיל יש סיכוי שאדחה ואז זה יותר מסובך כי זה לשלם הרבה כסף.

האם התחושה הזו של המחשבות ושל ההיסוס בנוגע לתואר נמצא בכל תואר?

האם עשיתי טעות שדחיתי?

מרגיש לי מאוחר להתחיל בגיל 26….",Omer Cohen,72,150,2734,https://www.facebook.com/groups/mlimudim/posts/1093626408294292/,Oct-24
לסיים בגיל 30 תואר כמה זה נורא?,Anonymous participant,51,123,2085,https://www.facebook.com/groups/mlimudim/posts/1095867748070158/,Oct-24
"ועכשיו ברצינות,איך אפשר לממן את התואר? אין לי עזרה מההורים ותארים לא פחות מ30 אלף ש״ח בשנה.
בנות שללא עזרה איך אתן מסתדרות? 
אוניברסיטה זה אחלה פיתרון אבל לא עומדת בתנאי קבלה ובכללי צריכה לעשות מכינה.
מרגיש לי שתואר זה פשוט לעשירים בלבד לפעמים..
מלעשות את זה הצעד הזה זה אך ורק כסף. 
מרגישה עצובה ומיואשת אשמח להצעות 🫶",Anonymous participant,63,24,1499,https://www.facebook.com/groups/mlimudim/posts/1095239764799623/,Oct-24
"איזה תואר הכי קל ממש ללמוד? רק רוצה תואר בלבד בשביל הכיף. קליל ולא קשה. ללא מתמטיקה 
יש?",Anonymous participant,36,73,2796,https://www.facebook.com/groups/mlimudim/posts/1096811301309136/,Oct-24
"בת 24, קצת אבודה לגבי מה בא לי ללמוד ולעסוק בחיי. 
אין לי תעודת בגרות, ויתרתי לעצמי בגלל חרם באותה תקופה
להשלים בגרות פחות רלוונטי לי 
מה האופציות ואיך אוכל להתקדם?",Anonymous participant,39,47,1796,https://www.facebook.com/groups/mlimudim/posts/1095516214771978/,Oct-24
כמה זה נורא לסיים תואר ראשון בגיל 30?,Anonymous participant,27,86,1550,https://www.facebook.com/groups/mlimudim/posts/1095986461391620/,Oct-24
"שלום,
אני יודע שאולי זה לא קשור לפה, אבל אין לי עוד לאן לפנות.
אני בן 25, אמא שלי מנקה, גידלה אותי לבד כל החיים על משכורת מאוד נמוכה.
סיימתי 12 שנות לימוד, לא הכי וואו אבל בסדר. 5 אנגלית, 4 מתמטיקה, 5 פיזיקה
לא עשיתי צבא, בגלל שסבלתי מדיכאון ולא רצו להמשיך איתי, אז נכנסתי לשוק העבודה מגיל 18, גם בשביל לעזור לאמא שלי (היום היא כבר בת 62) וגם בשביל לשחרר את עצמי ושיהיה לי גרוש או שניים.
אין לי כסף, קיבלתי כמה עשרות אלפי שקלים מסבא וסבתא שלי זכרונם לברכה וזהו.
אני לא יודע איך להתחיל ללמוד, אני לא יכול להרשות לעצמי 4 שנים של תואר מבלי עבודה, אני לא אשרוד, אמא שלי לא תשרוד, אני חייב כסף וחייב להסתדר כלכלית.
האופציה היחידה שיש לי זה האוניברסיטה הפתוחה ומדעי המחשב, כי זה התחום שהכי מעניין אותי משם, הוא היחיד גם שהוא מדעי ושמתי עליו עין.
לא יודע מה לעשות, לא יודע אם יקבלו אותי מלגות, לא יודע לא מבין כלום, מפחד פחד מוות מלהיות יותר עני.

למישהו יש איך לעזור?
אין לי תנאי קבלה לאוניברסיטאות",Anonymous participant,24,24,1396,https://www.facebook.com/groups/mlimudim/posts/1097206977936235/,Oct-24
אני לא יודעת מה ללמוד! כל כך מיואשת. שנתיים שאני מנסה לראות למה אני מתחברת. פעם נרשמת ומבטלת. עושה מבחנים לשיפור סיכויי הקבלה שלי אבל אחר כך מרגישה שאני מבזבזת זמן אני לא יודעת מה ללמוד. איך יודעים? עצה? מישהו?,Anonymous participant,22,30,1503,https://www.facebook.com/groups/mlimudim/posts/1095492958107637/,Oct-24
"שאלה למי שלומד כאן פסיכולוגיה/ע""ס: לא מפחיד אתכם ללמוד בידיעה שתרוויחו מעט כסף בשנות הלימודים וההתמחות? זה משהו שפשוט ממש מפחיד אותי הידיעה שאני לא אצליח לחסוך מספיק כסף בשנות ה20 שלי אם אני אבחר ללכת למקצועות האלו במקום ללכת למקצועות ההנדסה למשל... לא שואל מתוך זלזול חלילה אלא מתוך רצון אמיתי לדעת.",Anonymous participant,15,55,1610,https://www.facebook.com/groups/mlimudim/posts/1096907141299552/,Oct-24
